S.NO,QUESTIONS,ANSWERS,LINKS
74,What is 'Instant Shop'?,"Instant Shop is an innovative feature that makes shopping online with us even quicker and easier!We create an order just for you based on items purchased in your most recent Ocado delivery. Giving you the option to shop from the list or add all items to your trolley, securing your delivery slot swiftly and allowing plenty of time for you to edit your shop before your cut-off time.Please note: Instant Shop will be available after your first delivery but will be much more accurate and effective after your third shop. ",https://help.ocado.com/hc/en-us/articles/360017558972-What-is-Instant-Shop-
75,How do I know if I placed my order correctly?,"When you've successfully completed an order, we'll show you an order confirmation page as well as sending you a confirmation email containing your order details.Please note: you may need to double check your Junk folder. Some customers with active junk filters turned on may not receive confirmation emails.",https://help.ocado.com/hc/en-us/articles/360017844611-How-do-I-know-if-I-placed-my-order-correctly-
76,How do I view the items in my trolley?,"[IMAGE] You can view your trolley quickly by hovering over the trolley icon at the top right-hand side of the Ocado website.Here, you'll see a list of all your current items with the quantities you’ve added. Simply, click on the icon to view your shop in full and make any necessary edits.Please note: we recommend booking your delivery slot before adding items to your trolley - this will show you the most accurate product information for your delivery. ",https://help.ocado.com/hc/en-us/articles/4404064998802-How-do-I-view-the-items-in-my-trolley-
77,What happens if I don't have time to finish my order?,"When you book a delivery slot before shopping or checking out, that delivery slot is only reserved and will expire after 60 minutes. The slot will only be confirmed once you have checked out your order.",https://help.ocado.com/hc/en-us/articles/360017558772-What-happens-if-I-don-t-have-time-to-finish-my-order-
78,What happens if you substitute an item that's on special offer?,"We'll always let you know in advance if there are any substitutions in your order and clearly state that you may reject any substitute item and we will refund the amount charged. We also have strict measures in place to ensure that all substitutions are reasonable and fair, and that the price the customer pays is amended accordingly. However, if the original item you ordered was on special offer, we'll apply that same offer to the cost of the substitution (even if that product is not on offer) - that way, you still get to enjoy the discount!Please note: all our special offers are subject to availability.",https://help.ocado.com/hc/en-us/articles/360017845191-What-happens-if-you-substitute-an-item-that-s-on-special-offer-
79,Can I tell you I never want substitutions?,"We wouldn’t want you to go without so we’ll always offer a substitution if we can. Your driver will ask you first if you are happy with them and, if not, you can let them know before you pick up the shopping. They’ll take them back and you won’t be charged for those products.",https://help.ocado.com/hc/en-us/articles/360030441972-Can-I-tell-you-I-never-want-substitutions-
80,How do I reject substitutions?,"We always aim to get your shop to you exactly as you've ordered it. On the odd occasion this doesn't happen we try to match anything that's out of stock with the closest item possible. We'll send out a receipt email and SMS (if you're opted in) before your delivery time with any substitutions included.If you don't want any of the substitutions offered, please let your friendly Ocado driver know, they'll take the item back and you will not be charged.",https://help.ocado.com/hc/en-us/articles/360030777951-How-do-I-reject-substitutions-
81,How safe is my Reserved slot? ,"Reserved orders are booked 30 days in advance, and we aim to fulfil all existing Ocado Reserved orders to give you the easiest shopping experience possible. However, there may be occasions whereby your chosen delivery day and time slot are unavailable as our slots are subject to availability. If this occurs, you will be able to book an alternative slot manually. Just follow 'Book a delivery' on our website. ",https://help.ocado.com/hc/en-us/articles/360007149918-How-safe-is-my-Reserved-slot-
82,Can I book another slot in addition to my Ocado Reserved deliveries? ,Of course – you’ll just need to do this the usual way.,https://help.ocado.com/hc/en-us/articles/360019278117-Can-I-book-another-slot-in-addition-to-my-Ocado-Reserved-deliveries-
83,Why do you require a mobile number to set up Ocado Reserved? ,"If you don't already have a mobile number saved in your Account Settings, we'll ask you to add a mobile number when setting up your Ocado Reserved membership. Reserved deliveries are checked out automatically. So you never miss a delivery, we'll send you handy SMS reminders.Don't worry, we'll only send reminders, never spam.",https://help.ocado.com/hc/en-us/articles/4404357392914-Why-do-you-require-a-mobile-number-to-set-up-Ocado-Reserved-
84,What happens if my Reserved order is under £40? ,We will manually book a Reserved order on your behalf if your Reserved order falls below the £40 minimum order size.,https://help.ocado.com/hc/en-us/articles/360012507337-What-happens-if-my-Reserved-order-is-under-40-
85,"I am a Reserved customer, will my Christmas order be automatically booked? ","To help us manage demand, we pause Ocado Reserved each year from 20th-27th of December. If you normally have an Ocado Reserved slot, then it won’t be booked during the Christmas period – you’ll need to book it yourself. We recommend you book your festive slot as soon as you see the star for Christmas slots next to Book a delivery on Ocado.com or when you get an email or SMS notification.Please note: we make changes to our trading hours during the festive period, which could affect your Ocado Reserved orders. For more information, please check out our Christmas delivery times here. ",https://help.ocado.com/hc/en-us/articles/4408847611666-I-am-a-Reserved-customer-will-my-Christmas-order-be-automatically-booked-
86,Can I reorder a previous shop?,"Yes, simply find the order you want to buy again on your Orders page on our website, and click the 'Previous orders' tab. View the order, click 'Add all to trolley', then check out. On our app click 'Orders & Receipts' on the homepage, view the order, click 'Add all to trolley', then check out.",https://help.ocado.com/hc/en-us/articles/360017844991-Can-I-reorder-a-previous-shop-
87,Can I place my order over the phone?,"Afraid not. We're an online company, so all orders must be placed through our website or app.",https://help.ocado.com/hc/en-us/articles/360017844471-Can-I-place-my-order-over-the-phone-
88,How can I get a copy of my receipt?,"You can view your receipts in our app or on the website. We'll also send you PDF copies by email. If you'd like to print a receipt from a previous order, simply click on Orders under the 'My Ocado' tab and find the order you're looking for. There'll be a 'Print' link under the receipt column, click on it to print a copy.",https://help.ocado.com/hc/en-us/articles/360017558852-How-can-I-get-a-copy-of-my-receipt-
89,Can I print my order?,"Please print a copy of your order confirmation email, if you'd like a text-only printed version of your order. ",https://help.ocado.com/hc/en-us/articles/360017558492-Can-I-print-my-order-
90,I have ordered items for a special occasion - can you guarantee they'll be delivered with my shop?,"We understand the importance of delivering your favourite products in time for special occasions. We always work hard to provide the best possible stock availability for our customers and although we can’t make any guarantees, please be assured we’ll do everything we can to deliver your shop exactly as you’ve ordered it. ",https://help.ocado.com/hc/en-us/articles/4404125756562-I-have-ordered-items-for-a-special-occasion-can-you-guarantee-they-ll-be-delivered-with-my-shop-
91,How much does delivery cost?,"Our delivery charges range from 99p to £6.99 depending on slot availability. Please take a look at your booking calendar to see individual delivery prices and find a slot that suits you.If your order is less than £75, there's a minimum charge of £2.99 and a maximum of £6.99. You can view the various options when you book your delivery slot. There, you will be able to select a delivery time and cost that best suits you.To make big savings on delivery charges, sign up for our Smart Pass service, you can save hundreds of pounds a year if you shop regularly! With a Smart Pass, you can also save at least 10% on big brands, and get priority access to Christmas deliveries.",https://help.ocado.com/hc/en-us/articles/360017551912-How-much-does-delivery-cost-
92,How can I check if you deliver to my area?,"You can use our Postcode Checker. We'll instantly be able to tell you if we deliver to your postcode.Why don't Ocado deliver to me?We’re always expanding our delivery area, and hope to be in your neck of the woods soon! Please register with us, so we can email you as soon as we start delivering to your address.",https://help.ocado.com/hc/en-us/articles/360003752437-How-can-I-check-if-you-deliver-to-my-area-
93,Do I have to register before I can shop?,"You can browse and add to your trolley before you've registered, just click on the home icon from the registration page to discover our unbeatable range!We always recommend registering first so we can check if we deliver to your postcode. Once registered, book a delivery slot before you start shopping. This way, you'll see the most accurate product information for your delivery.",https://help.ocado.com/hc/en-us/articles/360017551172-Do-I-have-to-register-before-I-can-shop-
94,What is the minimum spend?,The Ocado minimum spend is £40.,https://help.ocado.com/hc/en-us/articles/360017837651-What-is-the-minimum-spend-
95,How do I book a delivery? ,"Booking a slot with Ocado is as easy as tucking into your favourite box of chocolates!Simply select Book a delivery from our website or app homepage, choose the correct address from the drop-down list and browse your calendar to discover the best available delivery times for you.Please note, delivery pricing is shown on individual slots and varies depending on area availability. Want to wave goodbye to individual delivery charges? Sign up for a Smart Pass here.Once you’ve chosen a suitable slot, click to reserve. The slot you’ve selected will be held for 60 minutes, giving you time to complete your shop. If you want to keep the delivery slot for longer, simply place your order then amend it before the cut-off time for your delivery. ",https://help.ocado.com/hc/en-us/articles/360017843411-How-do-I-book-a-delivery-
96,How do you pack my groceries? ,"Your groceries are picked and packed by our team of Personal Shoppers, with the help of our very own super-intelligent software system. It tells them what products to pack and where to put them, minimising damage, product contamination and even the number of bags we use.We also use a detailed product segregation guide (containing advice from food technology experts and customers), as we believe your groceries should be packed to the very highest standards.If you have any questions or require more information, please fill in our Contact Us form. This will allow us to prioritise your query and deal with it as quickly as possible.",https://help.ocado.com/hc/en-us/articles/360017847872-How-do-you-pack-my-groceries-
97,How do I change the delivery address of an order? ,"Unfortunately, you wouldn’t be able to change the delivery address of an order placed as our availability is based on local routes. You can cancel this order and place a new one at the new address. If your delivery is past its cut-off point, please get in contact with us here. This will allow us to prioritise your query and deal with it as quickly as possible. Need help adding a new address? please read our FAQ: Can I have my shopping delivered to a different address?",https://help.ocado.com/hc/en-us/articles/360009760817-How-do-I-change-the-delivery-address-of-an-order-
98,Where is my delivery? ,"We always aim to deliver your shop within your hour time slot. Late deliveries are unusual for us and we’re always working on ways to minimise them even more.Check the delivery status of your orderYou can check the estimated time of arrival of your delivery on the homepage when you’ve logged in.You’ll see your order status in a yellow box. This will provide an estimation of whether we are running on time or think we might be late.mceclip0.pngGet notifications about your deliveryWe’ll text you to let you know that your delivery is on its way. Make sure you’ve opted in to receive texts here, and if you download our App, you'll receive Push Notifications when we’re outside your property.If we’re running lateIf our van is running late when it leaves our warehouse we’ll text you to let you know. We do our best to make up the time on our route to minimise any delays.However, unforeseen operational issues may sometimes cause drivers to get held up on the route. If this happens, your driver will do their best to let you know that they are running late.You can check the estimated time of arrival of your delivery on our homepage when you’ve logged in. If it looks like this isn’t right or you need further assistance please get in contact with us, here.",https://help.ocado.com/hc/en-us/articles/360018020432-Where-is-my-delivery-
99,What happens if my delivery is late? ,"We always try to deliver on time, but sometimes there's things we can’t control, such as traffic. If your delivery driver is running late, they'll always try to let you know by giving you a call. If your order is late leaving our fulfilment centre, we will send you an SMS. If there are any issues, please get in contact with us, here. This will allow us to prioritise your query and deal with it as quickly as possible. ",https://help.ocado.com/hc/en-us/articles/360030660032-What-happens-if-my-delivery-is-late-
100,What happens if I'm not in for my delivery?,"If you aren't going to be in for your delivery, don't worry! With your permission, we'll try to leave your shopping in a safe place.You can add delivery instructions on your account in the address book here or when you check out your order to let us know a preferred safe place. Please be aware that we cannot leave age-restricted items unattended. If your delivery's due today and you know you're not going to be in please let us know via our Contact us page.",https://help.ocado.com/hc/en-us/articles/360009812497-What-happens-if-I-m-not-in-for-my-delivery-
101,What happens if I miss a delivery? ,"If you’re not at home when your delivery arrives, your driver will try to call you on the contact number you provided. With permission, we will ask you to suggest a safe place where they can leave the bags with your items. We’ll then send an email to confirm that your shop has been delivered. Please note: Once delivered to your designated safe place, Ocado cannot be held responsible for the delivery left unattended. As your order will be left unattended, we will have to remove any age-restricted items and you will not be charged for these. If we cannot contact you, your order will be cancelled and you will be charged for the cost of perishables in your order or a fixed cancellation fee of £10 if your shop doesn’t include any perishable goods. ",https://help.ocado.com/hc/en-us/articles/360017556412-What-happens-if-I-miss-a-delivery-
102,Can I book a delivery before I've placed an order? ,"Yes, you can. We actually recommend booking a slot before you start shopping – that way you'll see what's in stock and available for your delivery.When you initially book a slot, it's reserved for you while you complete your order. That reserved delivery slot expires after 60 minutes if you have not checked out. If your chosen delivery expires, you might need to reserve the slot again or possibly book a new one.",https://help.ocado.com/hc/en-us/articles/360017556472-Can-I-book-a-delivery-before-I-ve-placed-an-order-
103,Can I give driver feedback? ,"Of course. Please select the feedback option on our Contact Us form, and we'll make sure the depot receives your comments.",https://help.ocado.com/hc/en-us/articles/360009890698-Can-I-give-driver-feedback-
104,"If I can’t be in for my delivery slot, could my son/daughter accept my shop? ","If you aren’t going to be in for your delivery but someone else in your household can be, one of our friendly Ocado drivers will still attempt to hand over your shop. Please be mindful, when we deliver age restricted items we need to carry out a visual check on the person accepting the delivery to make sure they are over the age of 18. We follow the challenge 25 scheme and will ask for ID if we think the person looks younger than 25.",https://help.ocado.com/hc/en-us/articles/4404004490770-If-I-can-t-be-in-for-my-delivery-slot-could-my-son-daughter-accept-my-shop-
105,What is a green delivery slot? ,The green van on the slot booking page shows our greener delivery slots. These are more efficient routes in terms of fuel consumption as we’re already delivering in your area.,https://help.ocado.com/hc/en-us/articles/360016549098-What-is-a-green-delivery-slot-
106,Can I book the same delivery slot every week?,"Yes! With Ocado Reserved, you can set up your preferred delivery day and time to be automatically checked out every week (or two weeks) with a generated order based on products you've bought before. To find out how to sign-up please read, 'How do I sign up for Ocado Reserved?'.",https://help.ocado.com/hc/en-us/articles/360017558252-Can-I-book-the-same-delivery-slot-every-week-
107,I have a bag of shopping I didn't order ,"Thank you for your honesty! Please get in contact with one of our Advisors, here.",https://help.ocado.com/hc/en-us/articles/360009891078-I-have-a-bag-of-shopping-I-didn-t-order
108,What kind of vans do you use? ,"We have a fleet of 1,700 delivery vans; most are Mercedes Sprinter vans specially adapted to fit Ocado totes.We also have a handful of Iveco Daily and our all-electric BD Autos for our city-centre depots. We currently keep diesel-powered vehicles for five years, and electric vehicles for eight years as they will generally operate within urban areas and travel fewer miles each day.",https://help.ocado.com/hc/en-us/articles/360009835538-What-kind-of-vans-do-you-use-
109,Do you deliver internationally? ,We currently deliver across England and parts of Wales.,https://help.ocado.com/hc/en-us/articles/360028698552-Do-you-deliver-internationally-
110,Do you offer Click & Collect? ,The short answer: no.The long answer: we've run Click & Collect trials in the past but they don't really work for us given we don't have bricks and mortar shops. We'll let you know if we start offering it again.,https://help.ocado.com/hc/en-us/articles/360003978798-Do-you-offer-Click-Collect-
111,I live in a flat/apartment - will you deliver to my front door?,"If you live in a flat, our friendly Ocado drivers will attempt to deliver your order to your front door. However, there may be occasions where our driver is unable to deliver your shopping safely or efficiently. In this instance, your driver may call to ask if they can meet you outside your building instead.",https://help.ocado.com/hc/en-us/articles/4405286812946-I-live-in-a-flat-apartment-will-you-deliver-to-my-front-door-
112,What is an eco shop purchase / what is the eco shop?,"Last year we  launched an Eco Shop on ocado.com that’s packed with a wide range of more environmentally friendly products. These products either help fight food waste, have responsible ingredients, come in more thoughtful packaging, or help you move towards a greener lifestyle. To make an Eco Shop purchase, just search ‘eco’ in the search bar on ocado.com to browse the range.",https://help.ocado.com/hc/en-us/articles/4412022887058-What-is-an-eco-shop-purchase-what-is-the-eco-shop-
113,Our Ocado Retail CO2 commitment,"As of 16th November 2021, Ocado Retail becomes the first supermarket globally to have a net-zero head office. Our carbon dioxide removal agreement with Climeworks commits to permanently removing over 1,000 tonnes of CO2 from the atmosphere - that's the equivalent of what we'll emit over the next seven years at our HQ in Hatfield, Hertfordshire. Climeworks' direct air capture and storage technology means that the captured CO2 is safely stored deep underground.And what's better? You have contributed to the agreement by participating in Ocado's closed-loop carrier bag scheme - returning your Ocado bags to our drivers for recycling!",https://help.ocado.com/hc/en-us/articles/4410107188114-Our-Ocado-Retail-CO2-commitment
114,What is the You Give We Give scheme?,"We launched our You Give We Give (YGWG) scheme in 2014 to help tackle food poverty in the UK and maintain our near-zero food waste levels. YGWG allows our customers to add a donation for food bank partners and food poverty-related social enterprises as part of their grocery shop. We convert your donations to groceries, we match your donation and then deliver your kindness to our charity partners. So, for every pound you give, our partners get two pounds worth of groceries.And that's how small donations can have a huge effect!Was this article helpful? ",https://help.ocado.com/hc/en-us/articles/360016549298-What-is-the-You-Give-We-Give-scheme-
115,What exactly happens to the donations once made to You Give We Give?,The donations are collected and matched by us to double them effectively. We offer food banks a list of all the available food and they select what they need. We then deliver this in one of the refrigerated vans we’ve donated to our You Give We Give (YGWG) partners. ,https://help.ocado.com/hc/en-us/articles/360016440397-What-exactly-happens-to-the-donations-once-made-to-You-Give-We-Give-
116,What are some of the food poverty charities you’ve donated to via You Give We Give?,"Our You Give We Give (YGWG) partners include Feeding Britain, The Felix Project, Chefs in Schools, School Food Matters, Community Shop, UK Harvest, Ediblelinks and The Big Help Project. We’ve been working with many of these organisations since 2014. They provide critical support for children and adults at risk of hunger and malnutrition across the UK.",https://help.ocado.com/hc/en-us/articles/360016549238-What-are-some-of-the-food-poverty-charities-you-ve-donated-to-via-You-Give-We-Give-
117,"When a customer donates cash, does this go to the charities as cash? Or does it buy Ocado products for the charities? Presumably it is buying any products at retail price?",Donations are used to buy food for charity partners at cost price. ,https://help.ocado.com/hc/en-us/articles/360016440457-When-a-customer-donates-cash-does-this-go-to-the-charities-as-cash-Or-does-it-buy-Ocado-products-for-the-charities-Presumably-it-is-buying-any-products-at-retail-price-
118,Is You Give We Give not just giving away Ocado stock that you can’t sell?,Not at all. We donate fresh and ambient food which still has the same amount of life left as produce going to a customer does.,https://help.ocado.com/hc/en-us/articles/360016440417-Is-You-Give-We-Give-not-just-giving-away-Ocado-stock-that-you-can-t-sell-
119,"When Ocado donates food, is the value of this at cost price, or retail price?","Typically, donations are used to buy food for charity partners at cost price. This enables us to donate higher volumes of food with the funds raised.",https://help.ocado.com/hc/en-us/articles/360016549418-When-Ocado-donates-food-is-the-value-of-this-at-cost-price-or-retail-price-
120,How have you donated £8m to food poverty initiatives this year?,"Since 2014, we’ve been working with social enterprises, charities, food bank partners and other initiatives committed to redistributing as much food as possible and reducing food poverty in the UK. Specifically in 2021 we’ve:London - The Felix Project -  Since December 2020 The Felix Project has continued to scale up in response to the increasing levels of food poverty and food insecurity in London. In this time we have managed to distribute the equivalent of over 28m meals to those who need them throughout the city. North West - Your YGWG donations have helped to open a new Community Shop in Liverpool this yearHatfield (South East) - Your YGWG donations have helped us to deliver 1m items to Community Shop in your areaDordon (Midlands) - Your YGWG donations have helped us to deliver 500k items to Community Shop in your areaBristol (South West) - Your YGWG donations have helped us to deliver 400k items How to take part:Add one of our YGWG vouchers to your Ocado shop (£2.50, £5, or £10.)Do your weekly shop and check out as usual.",https://help.ocado.com/hc/en-us/articles/360016440357-How-have-you-donated-8m-to-food-poverty-initiatives-this-year-
121,How have you planted 100k trees?,"We’ve partnered with Trees for Cities to plant 100,000 trees. This will help to reduce around 37,000 tonnes of CO2 emissions and promote a healthier urban environment.Trees for Cities is a UK-based charity with ambitions to revitalise forgotten spaces and create healthier environments by planting trees. As well as reducing CO2, trees absorb air pollution, release oxygen and host thousands of species – this helps boost urban biodiversity and help mitigate climate change by cooling the air and the ground.",https://help.ocado.com/hc/en-us/articles/360016440157-How-have-you-planted-100k-trees-
122,What is the Ocado 'Progress Van'?,"At Ocado Retail, we have an internal network of colleagues called Partners In Pride. This committee’s role is to raise money for LGBTQ+ charities and provide a support network amongst our colleagues and ensure that we, as a business, take proactive steps in educating both our internal workforce and our customer base on LGBTQ+ related issues. With support from Ocado Retail’s leadership team, our Partners In Pride network requested that we launch a set of dedicated ‘Progress Vans’ within our delivery vehicle fleet. We believe that launching a collection of Progress vans based on the Progress flag’s design as a permanent fixture within our fleet is a great way to show our support and solidarity for the movement and all that it symbolises. What do the vans represent?The Progress flag is an updated version of the widely recognised LGBT Rainbow flag. The Progress design brings an emphasis on inclusion, diversity and progression.The six-coloured Rainbow Flag, widely recognised as the symbol of lesbian, gay, bisexual and transgender (LGBT) communities.The flag adds five-coloured chevrons: black and brown stripes representing marginalised LGBT communities of colour, along with the colours pink, light blue and white, which are used on the Transgender Pride Flag.The chevrons also represent those living with HIV/AIDS, people who have passed from the virus and the overall stigma surrounding HIV/AIDS.We would not look to generate any profit or commercial revenue from these vans. We want to have these as permanent assets within our fleet to display our community support proactively. ",https://help.ocado.com/hc/en-us/articles/4402143303442-What-is-the-Ocado-Progress-Van-
123,Personal pronouns and why we use them in email signatures,"At Ocado, we all have the choice to include our preferred personal pronouns in our email signatures. This is important to us because we have a wide range of stakeholders, including colleagues, customers and suppliers, all of whom are from many different backgrounds, cultures and communities. Our company values encourage us to bring our best selves to work, which means showing up authentically and being inclusive and respectful. It’s also about having the courage to speak up, ask for help, connect with others in a genuine way, and allow ourselves to be truly seen.By volunteering our personal pronouns we are signifying that we make no assumptions about gender identity and that Ocado is a safe place for everyone to affirm their own identities. We hope to play our part in creating a world of belonging for all. ",https://help.ocado.com/hc/en-us/articles/6989660263826-Personal-pronouns-and-why-we-use-them-in-email-signatures
124,How do I change my payment details for Ocado Reserved?,"Go to your Account Settings, under 'My Ocado', and select Payment Details. Once you're there, locate the card that you wish to use and click the option to link the payment as the primary method for 'Ocado Reserved'. Please note: Updating your payment method for Ocado Reserved will not automatically update orders that have already been placed, if you're needing to update any existing deliveries go to Orders under 'My Ocado' and edit your order the usual way. You'll be able to select an alternative payment method at checkout. Need help adding a new card? Please read our FAQ, 'How do I add a card to my account?'",https://help.ocado.com/hc/en-us/articles/4410085405074-How-do-I-change-my-payment-details-for-Ocado-Reserved-
125,Help with payment issues,"If your payment isn’t working when you check out, please check the following:Check your card is up to date, it may sound simple but the expiry date on your payment method must be valid after the day of your delivery.If the payment is failing before the payment provider verification screen, clearing your cookies will usually solve the issue. For technical support please read our FAQ, here. If the payment is failing after or during the provider verification screen, we recommend getting in contact with your bank.Check your payment details by clicking, here.To update your details follow the instructions below.If the payment for your last order has failed, you can log into your account and re-submit the payment by following the below steps:When you log in you’ll be greeted with a message advising your payment has been unsuccessful.Click ‘Update payment details’.You’ll see a screen to choose which payment method you’d like to use.Choose your card or PayPal account (or add a new method), then click ‘Submit’.We’ll now try to take payment again, which can take 24 hours to processPlease note: adding a new payment method to your ‘Stored payment details’ won’t automatically clear the outstanding payment, so please use the method above.Still having trouble? Please get in contact with us, here. ",https://help.ocado.com/hc/en-us/articles/360009891478-Help-with-payment-issues
126,What payment methods do you accept?,"We accept Visa, MasterCard, Visa Delta, Visa Debit, Switch and American Express cards. You can also pay with PayPal.We no longer accept Solo or Electron cards. However, if you already have a Solo or Electron saved as a payment method you will still be able to use it.Similarly, we no longer accept John Lewis and Waitrose account cards unless they have already been added to your Ocado account. If you remove any John Lewis or Waitrose account cards from your stored payment details you won't be able to add them again.",https://help.ocado.com/hc/en-us/articles/360017838311-What-payment-methods-do-you-accept-
127,When will you charge me for my shopping?,"With your first Ocado shop, any order placed at a new address or your first order made after 90 days, we pre-authorise your payment for verification and include an additional estimated amount to cover the cost of carrier bags and items priced by weight. This is done as we don’t actually take payment until your friendly Ocado driver has delivered your shop. This amount is only reserved and never actually deducted from your account, although some card providers will show this reserve on their online statements.Once the delivery has been made and payment has been taken, pre-authorisation will be released back to your card. ",https://help.ocado.com/hc/en-us/articles/4402447646610-When-will-you-charge-me-for-my-shopping-
128,I don't recognise a transaction from Ocado,"Firstly, please contact your payment provider to make them aware. Then, get in contact with us here.We’ll take some details from you to prevent further transactions.Please note: we'll never ask for your full card details, just enough to identify the payment in our systems and block it from further use. ",https://help.ocado.com/hc/en-us/articles/360009761017-I-don-t-recognise-a-transaction-from-Ocado
129,Why can I see a pending transaction from Ocado for £1?,"When you place an order with us we process a test on your chosen payment method to verify that the card being used is valid and has funds available to honour the payment. This is done as we don’t actually take payment until your friendly Ocado driver has delivered your shop. The £1 test payment is only reserved and never actually deducted from your account, although some card providers will show this reserve on their online statements.Once the delivery has been made and payment has been taken the reserve will be released back to your card. ",https://help.ocado.com/hc/en-us/articles/4402454610834-Why-can-I-see-a-pending-transaction-from-Ocado-for-1-
130,How do you calculate how much VAT I'm charged?,"We calculate VAT based on the VATable products in your order, your delivery charge, and any money-off vouchers you might have used.VATable products include alcoholic drinks, confectionery, and some other not-so-healthy snacks. On your receipt, you'll see these items marked with an asterisk: *. VATable products are taxed at the standard rate of 20%; you can read more on the Government's VAT info page.Delivery charges and money-off vouchers are not charged at the standard rate – the taxman doesn't make life easy – both are currently taxed at a rate of 6.1%.Here's an example of how we work out VAT:One of our customers, Mr Hammond, ordered an £8 bottle of wine with his shopping. The 20% VAT came to £1.33.Mr Hammond had a delivery charge of £5.49. The 6.1% VAT came to 31p.Also, he had a money-off voucher for £10. The 6.1% VAT came to 57p.(Product VAT: £1.33) + (Delivery charge VAT: 31p) – (Voucher VAT: 57p) = (Total VAT paid: £1.07)So, overall, Mr Hammond paid £1.07 in VAT, which was shown on his receipt.",https://help.ocado.com/hc/en-us/articles/360017838691-How-do-you-calculate-how-much-VAT-I-m-charged-
131,Why is the 'total price' on my receipt different from the 'estimated total price' I was given when I ordered?,"For the vast majority of products (98.5%), the price you see on our website is the price you’ll pay, even if the price were to increase between the time you place your order and when it arrives at your door. We provide an estimated total before delivery to account for the small proportion of products that may change in price because their typical weight fluctuates. These items are usually fresh produce such as meat, fish, fruit and vegetables for which we use ‘catch-weight pricing’. What is catch-weight pricing?Some fresh produce such as meat, fish, fruit and vegetables are priced according to their size and weight - something we won’t know until your precise cut of meat, or exact portion of vegetables, are picked, packed and delivered to you. To give customers the best idea of what they’ll pay for these items, we provide a ‘typical weight range’ along with a ‘typical price per item’ on the product page - the final price may differ very slightly depending on the product’s exact size and weight. This ‘typical price’ is then used to estimate your total before delivery, and once your order is delivered, we recalculate your total based on the size of the catch-weight items you received.",https://help.ocado.com/hc/en-us/articles/360018128871-Why-is-the-total-price-on-my-receipt-different-from-the-estimated-total-price-I-was-given-when-I-ordered-
132,How do I opt out of push notifications?,"Push notifications are managed when you sign in to our app or by accessing notification settings on your device. You are in control of opting in or out of push notifications.To opt back into push notifications after you have opted out, you will need to turn back on notifications on your device. Let us know you've opted back in using our Contact Us form, here.Simply select, I want to update my marketing preferences as your reason for contact. You will then see a further drop down where you can select the option, I want to opt back in to push notifications.If you experience any problems with opting in or out of push notifications, check your notification device settings. Still need help? You can also email privacy@ocadoretail.com",https://help.ocado.com/hc/en-us/articles/4708350256658-How-do-I-opt-out-of-push-notifications-
133,How do I opt out of telephone or postal marketing? ,"To unsubscribe from Ocado.com postal marketing and telephone marketing please complete our Contact Us form and select I want to update my marketing preferences as your reason for contact. You will then see a further drop down where you can select the most appropriate option.If you decide to opt-out or unsubscribe it could take up to 72 hours to process the update through our systems, legally we are entitled to one month to process a data subject right request, we however most often action much sooner. Whatever you choose, you may still receive non-marketing related messages and other important service information.Please note: Opting-out of one channel of marketing may not automatically opt you out of other marketing channels or brands. To check you are opted out of all marketing channels and brands, you can email privacy@ocadoretail.com",https://help.ocado.com/hc/en-us/articles/4708056352530-How-do-I-opt-out-of-telephone-or-postal-marketing-
134,How do I update my details? ,"All your personal details are held in your account settings. To edit your existing details, simply sign in and select, Account Settings from the 'My Ocado' tab or click on one of the links below. Then, select the category you wish to add or amend, completing the relevant fields on each page.",https://help.ocado.com/hc/en-us/articles/360017846692-How-do-I-update-my-details-
135,How do I sign up for text message delivery reminders? ,"Go to your Account Settings and select 'Delivery SMS Reminders'. Choose which number you’d like us to send Delivery SMS Reminders to and remember to 'Save changes'.If your number is not shown, select 'Manage your phone numbers'. You'll be directed to your Account Details page where you'll be able to add it. Once your number is saved you can follow the 'Set delivery SMS reminders' link and go back to enable your reminders.If you no longer want to receive SMS reminders, simply select 'Disable SMS reminders'.Please note: Delivery reminders are not part of marketing communications.",https://help.ocado.com/hc/en-us/articles/360017846892-How-do-I-sign-up-for-text-message-delivery-reminders-
136,How do I change my delivery instructions? ,"To change the delivery instructions for an address, simply go to your Address Book within your Account Settings and add any information that our drivers may find useful.Don't forget to click the 'Save changes' button.Please note: if you'd like to change the location details of an address, it's best to delete it and then add the new address.",https://help.ocado.com/hc/en-us/articles/360018128111-How-do-I-change-my-delivery-instructions-
137,How do I sign up for or cancel marketing communications? ,"You have the right to amend your electronic marketing preferences at any time. The easiest way to view and update your preferences is through your Ocado account, by selecting  Account Settings under My Ocado and then Marketing Communications. Here, you'll be provided with information on how to manage your marketing preferences across all our marketing channels.Don't forget to Save changes to update your electronic marketing preferences.You can also update your electronic marketing preferences by contacting privacy@ocadoretail.com",https://help.ocado.com/hc/en-us/articles/360017846732-How-do-I-sign-up-for-or-cancel-marketing-communications-
